ID,Name,Frame,Ex,Var,Min,Max,Dif,Neg
1205,MP.THOMSO126,DA,28.1233507842,122.927017453,14.0693743537,46.44442606,32.3750517063,0.10271975181
1206,MP.THOMSO345,DA,27.9191322252,105.32747494,14.9653279425,45.0017340521,30.0364061096,0.0740700808625
1207,MP.WPPI_BOS4,DA,28.8372109035,164.389895248,14.0450157587,48.3178973435,34.2728815849,0.242008104457
1208,MP.Y2ACGEN.MP,DA,25.7631720176,152.301446943,11.5226864967,43.8968744098,32.3741879131,1.48789896128
1209,MP.Y2ACGEN.MPC,DA,25.7631720176,152.301446943,11.5226864967,43.8968744098,32.3741879131,1.48789896128
1210,MPS,DA,33.3736881435,212.06948118,17.6495914978,55.6468183328,37.9972268349,0.321042842909
1211,MPW.AZ,DA,26.9891210626,137.591894833,13.0063516746,44.5258732057,31.5195215311,1.16299043062
1212,MPW.MPW,DA,26.9810212321,137.541319843,13.0061722488,44.511638756,31.5054665072,1.16186602871
1213,MPW.UNIT_7,DA,26.9351432915,137.033147251,12.9996650718,44.4295873206,31.4299222488,1.16458133971
1214,MPW.UNIT_8,DA,26.9351432915,137.033147251,12.9996650718,44.4295873206,31.4299222488,1.16458133971
1215,MPW.UNIT_8A,DA,26.9351432915,137.033147251,12.9996650718,44.4295873206,31.4299222488,1.16458133971
1216,MPW.UNIT_9,DA,26.6475004984,131.224185005,12.8992882775,43.7928648325,30.893576555,1.20616028708
1217,NIPS.AZ,DA,34.6196849068,174.919422933,20.4690089244,53.6816909347,33.2126820103,0.578107092532
1218,NIPS.BAILLP10,DA,36.2312057179,265.473959908,17.5567552308,60.2090933245,42.6523380937,11.6905048157
1219,NIPS.BAILLP7,DA,36.1698682608,264.793721672,17.5211557622,60.1122683494,42.5911125872,11.7085021588
1220,NIPS.BAILLP8,DA,36.1931163512,264.939409994,17.5316971106,60.1453968781,42.6136997675,11.7038957157
1221,NIPS.BENCO.PSI,DA,30.9889816988,192.293926238,15.5678351591,51.2912363067,35.7234011476,16.5723213354
1222,NIPS.BENCO.SIG,DA,30.9889816988,192.293926238,15.5678351591,51.2912363067,35.7234011476,16.5723213354
1223,NIPS.BURROAK.H,DA,41.777446845,243.281445556,25.5681069959,63.0011728395,37.4330658436,2.68899176955
1224,NIPS.BURROAK.L,DA,46.559627915,400.467289819,24.660617284,73.6735185185,49.0129012346,15.0209670782
1225,NIPS.CC.WHITN,DA,30.2997999731,121.547708304,16.9099299569,46.8687661638,29.9588362069,8.59947737069
1226,NIPS.DR.GOSHHC,DA,36.0967170374,145.811457442,23.6292553191,53.6386460348,30.0093907157,0.0123984526112
1227,NIPS.DR.HORSE,DA,32.29077853,121.618103002,20.1714700193,48.8884912959,28.7170212766,0.647417794971
1228,NIPS.DR.MITTAL,DA,33.1497739362,127.778610939,21.2223500967,50.3444680851,29.1221179884,0.70750483559
1229,NIPS.DR.PACTIV,DA,32.8834618794,112.814304162,21.689303675,48.981827853,27.2925241779,0.130522243714
1230,NIPS.DR.PRAXAR,DA,32.9479420535,119.906002496,21.2780947776,49.7509187621,28.4728239845,0.311760154739
1231,NIPS.DR.USG,DA,32.118655303,119.622716175,20.1342263056,48.4917891683,28.3575628627,1.79305609284
1232,NIPS.DR.WEILMC,DA,32.320376773,145.347115793,19.2255609284,49.484303675,30.2587427466,4.64088007737
1233,NIPS.HWND1.IPL,DA,26.4560137944,138.780076264,12.234654195,44.5422505669,32.3075963719,23.6496598639
1234,NIPS.IMPA,DA,41.8475527233,283.935450061,23.7027731651,67.4163135171,43.713540352,0.0248057123879
1235,NIPS.IMPA_1.AZ,DA,39.1452614686,250.571201083,22.92414279,61.4483043682,38.5241615782,0.0315406294035
1236,NIPS.MCHCP.ARR,DA,31.6541516277,134.098610211,18.9591613588,47.9882908705,29.0291295117,5.4210403397
1237,NIPS.MICHCP12,DA,36.8376554024,215.78571559,20.9582397874,59.2350348721,38.2767950847,0.187910993026
1238,NIPS.MITCHP9,DA,37.9764931511,232.672727421,20.3045323246,61.9111863824,41.6066540578,2.31823590096
1239,NIPS.MUNSTR.LN,DA,34.0351680384,123.507405854,22.4945884774,50.8018106996,28.3072222222,0.224362139918
1240,NIPS.NIPS,DA,38.368059338,223.640020442,21.8499070076,61.4799601461,39.6300531385,0.281095981402
1241,NIPS.NORWAPNOR,DA,36.1394795472,301.799595976,17.830873464,62.0532680173,44.2223945533,25.1533178346
1242,NIPS.OAKDAPOAK,DA,36.2015109875,293.930709863,18.450342079,61.3382962471,42.8879541681,17.0764530056
1243,NIPS.SCHAHP14,DA,36.3102377394,204.359210341,20.9586549319,58.1831584191,37.2245034872,0.293454001993
1244,NIPS.SCHAHP15,DA,36.3102377394,204.359210341,20.9586549319,58.1831584191,37.2245034872,0.293454001993
1245,NIPS.SCHAHP16A,DA,37.1559026625,223.136449364,21.3620159415,59.7809664563,38.4189505148,0.167691796745
1246,NIPS.SCHAHP16B,DA,37.1559028008,223.136454388,21.3620159415,59.7809664563,38.4189505148,0.167691796745
1247,NIPS.SCHAHP17,DA,36.3102377394,204.359210341,20.9586549319,58.1831584191,37.2245034872,0.293454001993
1248,NIPS.SCHAHP18,DA,36.3102377394,204.359210341,20.9586549319,58.1831584191,37.2245034872,0.293454001993
1249,NIPS.STJOHN.LN,DA,34.9125428669,119.551563145,23.7689506173,51.5001440329,27.7311934156,0.0
1250,NIPS.WHITNGT1,DA,30.2997999731,121.547708304,16.9099299569,46.8687661638,29.9588362069,8.59947737069
1251,NIPS.WHITNGT2,DA,30.2997999731,121.547708304,16.9099299569,46.8687661638,29.9588362069,8.59947737069
1252,NIPS.WHITNST,DA,30.2997999731,121.547708304,16.9099299569,46.8687661638,29.9588362069,8.59947737069
1253,NIPS.WVPA,DA,40.0563101959,240.763931766,23.2267718366,63.9434838924,40.7167120558,0.0296379940219
1254,NIPS.WVPA_1.AZ,DA,36.528014326,189.669531512,22.2460169093,56.2431470174,33.997130108,0.059549084077
1255,NLR,DA,29.9811619084,87.9180174503,19.5592592593,44.743117284,25.1838580247,0.000979938271605
1256,NPPD,DA,31.1422430256,236.60692449,13.8145931584,54.2675290601,40.4529359017,0.79324476918
1257,NSB,DA,36.9836684933,208.424848268,21.446183992,59.3772467619,37.9310627698,0.0233809365659
1258,NSP.ADAMSWD1,DA,29.3323917215,152.609785857,14.5214720395,49.2112006579,34.6897286184,0.344662828947
1259,NSP.AEPM10,DA,36.4323004386,205.315475803,20.0934342105,59.0026052632,38.9091710526,0.00367105263158
1260,NSP.AEPM11,DA,36.4322428728,205.315033269,20.0933815789,59.0025657895,38.9091842105,0.00367105263158
1261,NSP.AEPM12,DA,36.4090849781,205.028532599,20.0811578947,58.9566315789,38.8754736842,0.00367105263158
1262,NSP.AEPM4,DA,35.8209517276,194.764000506,19.8986585366,57.8224268293,37.9237682927,0.0207073170732
1263,NSP.AEPM5,DA,36.4323015351,205.315511656,20.0934342105,59.0026052632,38.9091710526,0.00367105263158
1264,NSP.AEPM6,DA,36.4323212719,205.315706198,20.0934342105,59.0026710526,38.9092368421,0.00367105263158
1265,NSP.AEPM7,DA,36.4323294956,205.31581063,20.0934342105,59.0026842105,38.90925,0.00367105263158
1266,NSP.AEPM8,DA,36.4323936403,205.316330196,20.0934473684,59.0027894737,38.9093421053,0.00367105263158
1267,NSP.AEPM9,DA,36.4474813596,205.504405101,20.1014078947,59.0328157895,38.9314078947,0.00367105263158
1268,NSP.AGASSIZBE,DA,29.4611593877,197.877899366,13.5633318325,50.2153489419,36.6520171094,0.410652859072
1269,NSP.ALDRIHERC,DA,35.3656175966,319.898751178,15.3954001993,62.6804516772,47.2850514779,0.187276652275
1270,NSP.ALTM_1.AZ,DA,31.4127311336,215.363627037,13.9287552842,54.0592155942,40.13046031,0.487472992015
1271,NSP.ALTW,DA,37.5657031164,359.179906494,16.0556991033,66.6995848555,50.6438857522,0.32087014281
1272,NSP.ANSON2,DA,31.5646507251,264.249139498,13.3559780804,56.0384955164,42.6825174361,1.10802059117
1273,NSP.ANSON3,DA,31.5646576442,264.251874244,13.3559847227,56.0384124875,42.6824277649,1.10803387579
1274,NSP.ANSON4,DA,31.5901385199,265.418145593,13.353922285,56.1003121886,42.7463899037,1.1171471272
1275,NSP.AZ,DA,30.2115917097,190.877696688,14.0666228276,51.3067355566,37.240112729,0.13945514326
1276,NSP.BAT.GEN,DA,22.7689231958,120.144691163,9.46962320574,39.8043660287,30.334742823,3.74850478469
